item_index,slice_index,source_index,pair_id,mechanism_type,baseline,baseline_label,video_path,video_exists,strip_path,strip_exists,seed,target_concept,expected_effect,source_prompt,target_visible,causal_effect_visible,causeless_effect,video_quality,usable_for_claim,failure_mode,notes
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,clean_reference,Clean reference,outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_000/videos/000_a-realistic-close-up-video-of-a-small-pebble-dropping-into-a-still-pond_seed9100.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/000_clean_reference.jpg,true,,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",,,,,,,
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,baseline,baseline,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/000_fluid-impact-pebble-pond-002_baseline/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/000_baseline.jpg,true,22000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",,,,,,,
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,target_mask,target_mask,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/001_fluid-impact-pebble-pond-002_target_mask/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/000_target_mask.jpg,true,22000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",,,,,,,
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,footprint_mask,footprint_mask,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/002_fluid-impact-pebble-pond-002_footprint_mask/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/000_footprint_mask.jpg,true,22000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",,,,,,,
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,chain_mask,chain_mask,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/003_fluid-impact-pebble-pond-002_chain_mask/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/000_chain_mask.jpg,true,22000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",,,,,,,
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,comparison_token_mask,comparison_token_mask,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/004_fluid-impact-pebble-pond-002_comparison_token_mask/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/000_comparison_token_mask.jpg,true,22000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",,,,,,,
0,0,0,fluid_impact_pebble_pond_002,fluid_impact,random_token_mask,random_token_mask,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/005_fluid-impact-pebble-pond-002_random_token_mask/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/000_random_token_mask.jpg,true,22000,pebble,circular ripples spread outward,"A realistic close-up video of a still pond with a calm, undisturbed surface. pebble causes circular ripples spread outward.",,,,,,,
1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,clean_reference,Clean reference,outputs/zeroscope_v2_candidates304_clean_step20_f24_320x576_8gpu_s3/clean_shards/prompt_047/videos/000_a-realistic-fixed-camera-close-up-video-from-a-side-close-up-view-the-sc_seed9147.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/001_clean_reference.jpg,true,,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror.",,,,,,,
1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,baseline,baseline,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/006_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_baseline/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/001_baseline.jpg,true,22001,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror.",,,,,,,
1,20,47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,target_mask,target_mask,experiments/method_probe/zeroscope_attention_mask_b2_20260702_compact3/007_v2-fracture-damage-black-hockey-puck-a-star-shaped-crack-spreads-across_target_mask/sample.mp4,true,experiments/evaluation/zeroscope_attention_mask_b2_compact3_fable_20260702/frame_strips/001_target_mask.jpg,true,22001,black hockey puck,a star-shaped crack spreads across the mirror,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. black hockey puck causes a star-shaped crack spreads across the mirror.",,,,,,,
