run_id,prompt_index,pair_id,mechanism_type,baseline,seed,target_concept,expected_effect,video_path,video_exists,video_bytes,target_visible,causal_effect_visible,causeless_effect,video_quality,usable_for_claim,failure_mode,notes
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,0,round5_fluid_coin_fountain_005,fluid_impact,clean_reference,,coin,small splash and ripple rings appear,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_004/videos/000_a-close-up-slow-motion-video-of-a-shiny-coin-dropping-into-a-shallow-fou_seed5204.mp4,True,209566,,,,,no,clean_reference,Clean source reference; not an erasure output.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,0,round5_fluid_coin_fountain_005,fluid_impact,negative_prompt,6100,coin,small splash and ripple rings appear,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/negative_prompt_shards/prompt_000/videos/000_a-close-up-slow-motion-video-of-a-shiny-coin-dropping-into-a-shallow-fou_seed6100.mp4,True,315590,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,0,round5_fluid_coin_fountain_005,fluid_impact,safree_cogvideox,6100,coin,small splash and ripple rings appear,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/safree_cogvideox_shards/prompt_000/videos/000_a-close-up-slow-motion-video-of-a-shiny-coin-dropping-into-a-shallow-fou_seed6100.mp4,True,508634,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,0,round5_fluid_coin_fountain_005,fluid_impact,videoeraser,6100,coin,small splash and ripple rings appear,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/videoeraser_shards/prompt_000/videos/000_a-close-up-slow-motion-video-of-a-shiny-coin-dropping-into-a-shallow-fou_seed6100.mp4,True,807867,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,0,round5_fluid_coin_fountain_005,fluid_impact,t2vunlearning,6100,coin,small splash and ripple rings appear,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/t2vunlearning_shards/prompt_000/videos/000_a-close-up-slow-motion-video-of-a-shiny-coin-dropping-into-a-shallow-fou_seed6100.mp4,True,628851,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,1,round5_surface_tire_puddle_010,surface_trace,clean_reference,,bicycle tire,wet tire track remains on pavement,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_019/videos/000_a-side-close-up-video-of-a-bicycle-tire-rolling-out-of-a-shallow-puddle_seed5219.mp4,True,558721,,,,,no,clean_reference,Clean source reference; not an erasure output.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,1,round5_surface_tire_puddle_010,surface_trace,negative_prompt,6101,bicycle tire,wet tire track remains on pavement,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/negative_prompt_shards/prompt_001/videos/000_a-side-close-up-video-of-a-bicycle-tire-rolling-out-of-a-shallow-puddle_seed6101.mp4,True,657183,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,1,round5_surface_tire_puddle_010,surface_trace,safree_cogvideox,6101,bicycle tire,wet tire track remains on pavement,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/safree_cogvideox_shards/prompt_001/videos/000_a-side-close-up-video-of-a-bicycle-tire-rolling-out-of-a-shallow-puddle_seed6101.mp4,True,47918,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,1,round5_surface_tire_puddle_010,surface_trace,videoeraser,6101,bicycle tire,wet tire track remains on pavement,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/videoeraser_shards/prompt_001/videos/000_a-side-close-up-video-of-a-bicycle-tire-rolling-out-of-a-shallow-puddle_seed6101.mp4,True,1156477,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,1,round5_surface_tire_puddle_010,surface_trace,t2vunlearning,6101,bicycle tire,wet tire track remains on pavement,outputs/baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel/t2vunlearning_shards/prompt_001/videos/000_a-side-close-up-video-of-a-bicycle-tire-rolling-out-of-a-shallow-puddle_seed6101.mp4,True,715324,,,,,,,Pending manual review.
baseline_suite_causal_footprint_v0_round5_yes10_all_step20_parallel,2,round5_field_magnet_filings_001,field_mediated,clean_reference,,bar magnet,iron filings form curved field lines,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_040/videos/000_a-top-down-close-up-video-of-a-black-bar-magnet-sliding-near-scattered-i_seed5240.mp4,True,280927,,,,,no,clean_reference,Clean source reference; not an erasure output.
