protocol_version,candidate_id,global_index,mechanism_index,historical_capability_index,mechanism,mechanism_name,source_index,source_id,source_object,receiver_index,receiver_id,receiver,prompt_style,factual_prompt,target_prompt,expected_trigger,expected_footprint,expected_counterfactual_state,seed,num_frames,fps,target_origin,prompt_shard,prompt_shard_index,height,width,seed_strategy,intended_use,historical_pair_id,historical_screen_status,target_video_path,excluded_content_phrase
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r00_v0,0,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,0,water_impact_train_receiver_00,a calm shallow pond,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a calm shallow pond, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a calm shallow pond. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26000,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0000_water_droplet_shallow_pond_direct,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/000_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26000.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r00_v1,1,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,0,water_impact_train_receiver_00,a calm shallow pond,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a calm shallow pond. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a calm shallow pond. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26001,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0001_water_droplet_shallow_pond_natural,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/001_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26001.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r01_v0,2,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,1,water_impact_train_receiver_01,a transparent glass mixing bowl filled with water,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a transparent glass mixing bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a transparent glass mixing bowl filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26002,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0002_water_droplet_glass_bowl_direct,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/002_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26002.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r01_v1,3,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,1,water_impact_train_receiver_01,a transparent glass mixing bowl filled with water,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a transparent glass mixing bowl filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26003,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0003_water_droplet_glass_bowl_natural,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/003_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26003.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r02_v0,4,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,2,water_impact_train_receiver_02,a wide white ceramic basin filled with water,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a wide white ceramic basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide white ceramic basin filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26004,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0004_water_droplet_white_basin_direct,reject,outputs/water_impact_dynamic_v1/train_targets_v1/videos/004_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26004.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r02_v1,5,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,2,water_impact_train_receiver_02,a wide white ceramic basin filled with water,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a wide white ceramic basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide white ceramic basin filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26005,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0005_water_droplet_white_basin_natural,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/005_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26005.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r03_v0,6,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,3,water_impact_train_receiver_03,a clear rectangular glass tank filled with water,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clear rectangular glass tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear rectangular glass tank filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26006,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0006_water_droplet_glass_tank_direct,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/006_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26006.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r03_v1,7,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,3,water_impact_train_receiver_03,a clear rectangular glass tank filled with water,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear rectangular glass tank filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26007,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0007_water_droplet_glass_tank_natural,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/007_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26007.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r04_v0,8,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,4,water_impact_train_receiver_04,a clean metal bucket filled with water,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a clean metal bucket filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clean metal bucket filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26008,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0008_water_droplet_metal_bucket_direct,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/008_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26008.mp4,"source object, water entry or impact, splash, expanding circular ripples"
causal_role_erasure_7m_single_seed_v2,tgt7m_m00_s00_r04_v1,9,0,0,water_impact,Water impact,0,water_impact_original_water_droplet,one large clear water droplet,4,water_impact_train_receiver_04,a clean metal bucket filled with water,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a clean metal bucket filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clean metal bucket filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.",visible entry of the source through the water surface,a brief splash and expanding circular ripples,"the water remains smooth, level, and undisturbed",26009,49,8,water_v1_reuse,,,480,832,historical_water_v1_seed,training_target_candidate,widyn_train_0009_water_droplet_metal_bucket_natural,accept,outputs/water_impact_dynamic_v1/train_targets_v1/videos/009_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26009.mp4,"source object, water entry or impact, splash, expanding circular ripples"
