scene_id,source_scene_id,receiver_id,family,receiver,prompt_variant,condition,split,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,shard,shard_index,video_path,frame_count,fps,estimated_clean_end_exclusive,clean_prefix_max_mae_255,peak_frame0_mae_255,peak_changed_fraction,final_changed_fraction,auto_status,contact_sheet,error
wdreplenish000,wdsimple0158,hard_surface_04,hard_surface,plain white ceramic plate,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,0,0,outputs/waterdrop_target_only_replenish30_wan/shard_0/videos/000_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,4,0.528372061965812,0.9251252003205128,0.008100460737179488,0.007546449318910256,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish000_hard_surface_shard0_000.jpg,
wdreplenish006,wdsimple0176,hard_surface_13,hard_surface,white enamel stove surface,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,0,1,outputs/waterdrop_target_only_replenish30_wan/shard_0/videos/001_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,21,0.9984299879807692,5.986278044871795,0.07608423477564102,0.06903983874198717,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish006_hard_surface_shard0_001.jpg,
wdreplenish012,wdsimple0202,hard_surface_26,hard_surface,laminated office desk,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,0,2,outputs/waterdrop_target_only_replenish30_wan/shard_0/videos/002_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,45,1.1582264957264958,1.6006368522970087,0.011247996794871795,0.008187474959935898,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish012_hard_surface_shard0_002.jpg,
wdreplenish018,wdsimple0220,hard_surface_35,hard_surface,clear glass coaster,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,0,3,outputs/waterdrop_target_only_replenish30_wan/shard_0/videos/003_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,15,1.2141751802884615,2.330921140491453,0.021271534455128204,0.01775215344551282,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish018_hard_surface_shard0_003.jpg,
wdreplenish024,wdsimple0238,hard_surface_44,hard_surface,smooth whiteboard panel,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,0,4,outputs/waterdrop_target_only_replenish30_wan/shard_0/videos/004_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,2,0.45916633279914537,1.4949527577457267,0.008556189903846155,0.00853866185897436,review_short_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish024_hard_surface_shard0_004.jpg,
wdreplenish001,wdsimple0158,hard_surface_04,hard_surface,plain white ceramic plate,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,1,0,outputs/waterdrop_target_only_replenish30_wan/shard_1/videos/000_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,20,0.9196472689636753,1.2486636952457264,0.008673878205128206,0.007392452924679487,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish001_hard_surface_shard1_000.jpg,
wdreplenish007,wdsimple0176,hard_surface_13,hard_surface,white enamel stove surface,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,1,1,outputs/waterdrop_target_only_replenish30_wan/shard_1/videos/001_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,6,0.6708542000534189,3.980883580395299,0.047102864583333334,0.0469901842948718,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish007_hard_surface_shard1_001.jpg,
wdreplenish013,wdsimple0202,hard_surface_26,hard_surface,laminated office desk,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,1,2,outputs/waterdrop_target_only_replenish30_wan/shard_1/videos/002_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,2,0.6937466613247864,2.214140958867522,0.02188000801282051,0.02184119591346154,review_short_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish013_hard_surface_shard1_002.jpg,
wdreplenish019,wdsimple0220,hard_surface_35,hard_surface,clear glass coaster,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,1,3,outputs/waterdrop_target_only_replenish30_wan/shard_1/videos/003_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,1,nan,3.8576188568376066,0.04971454326923077,0.04801244491185897,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish019_hard_surface_shard1_003.jpg,
wdreplenish025,wdsimple0238,hard_surface_44,hard_surface,smooth whiteboard panel,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,1,4,outputs/waterdrop_target_only_replenish30_wan/shard_1/videos/004_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,8,1.492104033119658,1.6868723290598289,0.009770633012820513,0.009271709735576922,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish025_hard_surface_shard1_004.jpg,
wdreplenish002,wdsimple0164,hard_surface_07,hard_surface,white quartz countertop,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,2,0,outputs/waterdrop_target_only_replenish30_wan/shard_2/videos/000_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,2,0.412555922809829,1.3431598891559826,0.011410757211538461,0.01116473858173077,review_short_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish002_hard_surface_shard2_000.jpg,
wdreplenish008,wdsimple0184,hard_surface_17,hard_surface,polished brass plate,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,2,1,outputs/waterdrop_target_only_replenish30_wan/shard_2/videos/001_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,17,1.3910248063568378,2.8849609375,0.03367137419871795,0.033065404647435896,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish008_hard_surface_shard2_001.jpg,
wdreplenish014,wdsimple0214,hard_surface_32,hard_surface,glazed pottery lid,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,2,2,outputs/waterdrop_target_only_replenish30_wan/shard_2/videos/002_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,1,nan,3.9320913461538454,0.047919170673076925,0.047874098557692306,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish014_hard_surface_shard2_002.jpg,
wdreplenish020,wdsimple0226,hard_surface_38,hard_surface,porcelain bathtub ledge,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,2,3,outputs/waterdrop_target_only_replenish30_wan/shard_2/videos/003_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,5,0.7023345686431623,1.737575954861111,0.010854867788461538,0.009711162860576923,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish020_hard_surface_shard2_003.jpg,
