scene_id,source_scene_id,family,receiver,variant,shard,shard_index,fixed_seed,video_path,frame_count,fps,estimated_clean_end_exclusive,clean_prefix_max_mae_255,peak_frame0_mae_255,peak_changed_fraction,final_changed_fraction,auto_status,contact_sheet,error
wdsimple0000,wdp0000,liquid_surface,a calm shallow pond,0,0,0,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,5,0.6580595619658118,20.048187099358973,0.5383363381410257,0.5294126852964743,candidate,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0000_liquid_surface_shard0_000.jpg,
wdsimple0006,wdp0008,liquid_surface,a plain white ceramic cup filled with water,0,0,1,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,24,1.169762453258547,10.103632478632479,0.1297726362179487,0.12222305689102564,candidate,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0006_liquid_surface_shard0_001.jpg,
wdsimple0012,wdp0016,liquid_surface,a shallow rain puddle on level pavement,0,0,2,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,1,nan,29.86779013087607,0.4673377403846154,0.4605543870192308,reject_no_clean_prefix,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0012_liquid_surface_shard0_002.jpg,
wdsimple0018,wdp0024,liquid_surface,a stainless-steel kitchen sink basin filled with water,0,0,3,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/003_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,10,0.8456722422542734,9.229635750534188,0.24764873798076922,0.2089305388621795,candidate,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0018_liquid_surface_shard0_003.jpg,
wdsimple0024,wdp0032,liquid_surface,a round stone birdbath filled with water,0,0,4,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,1,nan,22.39326672676282,0.34799178685897436,0.33953763521634617,reject_no_clean_prefix,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0024_liquid_surface_shard0_004.jpg,
wdsimple0030,wdp0040,liquid_surface,a laboratory beaker filled with clear water,0,0,5,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/005_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,5,1.0945729834401707,23.682204026442307,0.37903145032051283,0.3757781199919872,candidate,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0030_liquid_surface_shard0_005.jpg,
wdsimple0036,wdp0048,liquid_surface,a stainless-steel saucepan filled with water,0,0,6,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,7,0.9157042935363249,18.525547542735048,0.39006660657051284,0.30215907952724363,candidate,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0036_liquid_surface_shard0_006.jpg,
wdsimple0042,wdp0056,liquid_surface,a porcelain soup bowl filled with water,0,0,7,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,14,0.8311548477564102,9.876459001068376,0.23387169471153846,0.1378975110176282,candidate,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0042_liquid_surface_shard0_007.jpg,
wdsimple0048,wdp0064,liquid_surface,a clear stemmed wine glass filled with water,0,0,8,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/008_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,1,nan,22.811305588942307,0.4916416266025641,0.485205078125,reject_no_clean_prefix,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0048_liquid_surface_shard0_008.jpg,
wdsimple0054,wdp0072,liquid_surface,a wide-mouth mason jar filled with water,0,0,9,9000,outputs/waterdrop_prompt_bank_v2_simple_wan/shard_0/videos/009_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9000.mp4,49,8.0,1,nan,26.08788812099359,0.4057066306089744,0.39501201923076923,reject_no_clean_prefix,outputs/waterdrop_prompt_bank_v2_auto_contact_sheets/wdsimple0054_liquid_surface_shard0_009.jpg,
