# Waterdrop prompt gate40 v1, part_b; fixed seed 9000.
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel pet water bowl is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief impact cavity closes and circular ripples cross the surface
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clear acrylic tank filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a low radial splash forms and several shallow ripples expand outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean coconut-shell cup filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | an asymmetric splash forms and curved ripples travel toward the opposite edge
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a microscope glass slide is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crown splash rises and concentric ripples spread outward
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small rectangular water trough is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief impact cavity closes and circular ripples cross the surface
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, lacquered wood panel is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, polished stone coaster is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, a small splash appears and a thin localized wet spot remains. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small splash appears and a thin localized wet spot remains
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, porcelain bathtub ledge is clean, dry, horizontal, and covered by a hydrophobic coating. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, the water recoils after a tiny splash and gathers into one compact bead. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | the water recoils after a tiny splash and gathers into one compact bead
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, smooth whiteboard panel is clean, completely dry, horizontal, and framed with one edge clearly visible. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible edge. Only after contact, an asymmetric splash appears and a small amount of water gathers against the edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | an asymmetric splash appears and a small amount of water gathers against the edge
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, sealed concrete paver is clean, dry, and held at a gentle fixed incline. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the upper-center area. Only after contact, a small splash appears and one bead slides a short distance downhill leaving a wet trail. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small splash appears and one bead slides a short distance downhill leaving a wet trail
