# Exported benchmark-v2 control prompts
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera close-up video of the same scene before the event, with no pebble, no visible cause, and no circular ripples spread outward. | pebble | circular ripples spread outward
A realistic fixed-camera close-up video showing circular ripples spread outward, with no pebble or other visible cause in the frame. | pebble | circular ripples spread outward
A realistic fixed-camera close-up video of a small visible bead producing a similar footprint: circular ripples spread outward, with no pebble visible. | pebble | circular ripples spread outward
A realistic fixed-camera close-up video of the same scene before the event, with no rock, no visible cause, and no spiderweb crack appears on windshield. | rock | spiderweb crack appears on windshield
A realistic fixed-camera close-up video showing spiderweb crack appears on windshield, with no rock or other visible cause in the frame. | rock | spiderweb crack appears on windshield
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: spiderweb crack appears on windshield, with no rock visible. | rock | spiderweb crack appears on windshield
A realistic fixed-camera close-up video of the same scene before the event, with no soccer ball, no visible cause, and no net stretches and ripples backward. | soccer ball | net stretches and ripples backward
A realistic fixed-camera close-up video showing net stretches and ripples backward, with no soccer ball or other visible cause in the frame. | soccer ball | net stretches and ripples backward
A realistic fixed-camera close-up video of a gloved hand producing a similar footprint: net stretches and ripples backward, with no soccer ball visible. | soccer ball | net stretches and ripples backward
A realistic fixed-camera close-up video of the same scene before the event, with no tennis ball, no visible cause, and no racket strings bend inward. | tennis ball | racket strings bend inward
A realistic fixed-camera close-up video showing racket strings bend inward, with no tennis ball or other visible cause in the frame. | tennis ball | racket strings bend inward
A realistic fixed-camera close-up video of a gloved hand producing a similar footprint: racket strings bend inward, with no tennis ball visible. | tennis ball | racket strings bend inward
A realistic fixed-camera close-up video of the same scene before the event, with no comb, no visible cause, and no paper scraps lift and cling together. | comb | paper scraps lift and cling together
A realistic fixed-camera close-up video showing paper scraps lift and cling together, with no comb or other visible cause in the frame. | comb | paper scraps lift and cling together
A realistic fixed-camera close-up video of a thin wooden stick producing a similar footprint: paper scraps lift and cling together, with no comb visible. | comb | paper scraps lift and cling together
A realistic fixed-camera close-up video of the same scene before the event, with no water droplet, no visible cause, and no crown splash and circular ripples. | water droplet | crown splash and circular ripples
A realistic fixed-camera close-up video showing crown splash and circular ripples, with no water droplet or other visible cause in the frame. | water droplet | crown splash and circular ripples
